%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -9252.102285874163, -11092.924903979887, -10753.871292337333, -17157.713134016172, -2546.2436731152147, -1707.2709449852641, -5587.0196923040985, -6644.324260273488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444990897854624E9, 0.0, 2022-02-11 00:18:09.785
10.0, -9244.055657870253, -11102.424395373393, -10751.524359169527, -17146.805482721982, -2542.555635280089, -1700.9230495599568, -5592.831145862478, -6639.049248582036, -17051.6764583202, -14641.197281026518, -19966.321583547782, -12606.428576282095, -6394.163536329692, -10002.293885027633, -11837.640325741808, -12251.61698479855, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644499089785472E9, 0.0, 2022-02-11 00:18:09.785
12.0, -9248.369544550127, -11108.526421609691, -10752.954870814667, -17154.02509618105, -2542.26506260217, -1708.209718252387, -5596.340369741961, -6641.1279608163795, -17060.23717644658, -14644.32652525026, -19954.18458630855, -12605.534506503882, -6395.102309596814, -9994.31431225709, -11831.001857638581, -12250.432342342418, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.64449908978548E9, 0.0, 2022-02-11 00:18:09.785
14.0, -9248.436599783492, -11096.657645303923, -10760.666222651747, -17149.800616478995, -2546.847170215508, -1712.076570043155, -5597.636770920369, -6643.69841142874, -17061.600632858353, -14645.064132817286, -19971.328374305773, -12612.932933918588, -6394.297646796424, -10003.567934461587, -11845.329325834433, -12257.00375521228, 0.004, -0.004, 0.495, 192.0, 0.0, 32.0, 127.5, 96.0, 15.0, 120.0, 0.0, 0.0, 0.0, 1.6444990897854888E9, 0.0, 2022-02-11 00:18:09.785
16.0, -9229.348210018661, -11079.983243940263, -10744.975298044123, -17146.269040855055, -2529.5469200071, -1694.6422093680155, -5601.145994799852, -6634.64595492434, -17052.70463856514, -14629.999057054409, -19956.66562994309, -12602.584076235782, -6384.194658302625, -9991.341530244534, -11841.77539846604, -12249.582976053116, 0.004, -0.004, 0.495, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444990897854967E9, 0.0, 2022-02-11 00:18:09.785
18.0, -9239.808826423745, -11090.846191745542, -10748.439818434694, -17147.00664842208, -2536.878292188441, -1702.7782443497474, -5596.58623893097, -6641.239719538656, -17054.023391488005, -14626.020446541364, -19955.548042720326, -12602.025282624398, -6380.2160477895795, -9982.624349906964, -11833.617011739852, -12249.605327797572, 0.004, -0.004, 0.495, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444990897855055E9, 0.0, 2022-02-11 00:18:09.785
20.0, -9228.767064662823, -11094.847154003044, -10745.9364230557, -17149.82296822345, -2529.815140940564, -1697.7714535917585, -5574.413308431305, -6631.963745589704, -17040.053551203437, -14616.99034178142, -19959.28078404436, -12609.893096672666, -6375.5221814539655, -9985.910056341894, -11835.449854785187, -12249.448865586384, 0.004, -0.004, 0.495, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444990897855127E9, 0.0, 2022-02-11 00:18:09.785
22.0, -9235.360829277139, -11088.789831255655, -10747.210472489653, -17158.87542472785, -2535.425428798846, -1706.399226951507, -5590.640674905858, -6636.367039247399, -17050.67062981971, -14631.6530861441, -19949.133092061653, -12609.624875739202, -6377.2209140325685, -9987.519381942677, -11829.303125059978, -12250.745266764792, 0.004, -0.004, 0.495, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444990897855203E9, 0.0, 2022-02-11 00:18:09.785
24.0, -9240.97111713542, -11089.750956267233, -10751.345545213884, -17149.10771240088, -2538.9346526783293, -1713.238860754831, -5588.740776627157, -6639.496283471141, -17046.55790883993, -14635.13995827913, -19960.174853822573, -12616.084529886786, -6378.562018699887, -9994.247257023724, -11840.210776354168, -12258.389563368508, 0.006, -0.006, 0.7424999999999999, 192.0, 0.0, 32.0, 127.5, 96.0, 15.0, 120.0, 0.0, 0.0, 0.0, 1.6444990897855277E9, 0.0, 2022-02-11 00:18:09.785
26.0, -9220.429863980993, -11081.838438730054, -10738.046257262977, -17143.184500120224, -2519.913318146863, -1686.1261947305436, -5574.972102042688, -6630.488530455653, -17043.00398147154, -14615.269257458362, -19952.37409500767, -12599.499535500949, -6368.7719546284625, -9976.4552684373, -11829.079607615426, -12246.18551089591, 0.006, -0.006, 0.7424999999999999, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644499089785535E9, 0.0, 2022-02-11 00:18:09.785
28.0, -9232.142178075574, -11075.267025860194, -10748.663335879248, -17137.618915750852, -2535.760704965676, -1702.3312094606413, -5616.5463467295585, -6637.059943325513, -17041.461711104123, -14615.001036524896, -19943.18752803654, -12590.82705865229, -6364.279253992946, -9973.840114336028, -11827.447930270187, -12247.28074637422, 0.006, -0.006, 0.7424999999999999, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444990897855422E9, 0.0, 2022-02-11 00:18:09.785
30.0, -9225.995448350364, -11086.174677154384, -10741.22020497563, -17137.1942326062, -2535.0901526320163, -1701.1689187489653, -5582.661102135313, -6634.064809568502, -17038.4218738582, -14607.826126554744, -19951.457673485, -12591.005872607931, -6372.571751185865, -9995.476602968765, -11838.981430409125, -12250.007659197767, 0.006, -0.006, 0.7424999999999999, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644499089785549E9, 0.0, 2022-02-11 00:18:09.785
32.0, -9228.677657685, -11093.215476657806, -10749.758571357557, -17147.900718200293, -2544.4331818143346, -1710.109616531088, -5576.268503221096, -6641.977327105681, -17053.576356598896, -14602.595818352202, -19946.272068771374, -12600.885343657177, -6378.852591377806, -9995.811879135596, -11829.213718082157, -12249.426513841929, 0.006, -0.006, 0.7424999999999999, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644499089785556E9, 0.0, 2022-02-11 00:18:09.785
34.0, -9237.238375811385, -11089.14745916694, -10755.815894104946, -17145.643192010306, -2545.841341715019, -1710.62370665356, -5586.907933581821, -6644.793646907049, -17055.655068833243, -14633.865908845177, -19966.634507970157, -12616.911544431632, -6389.715539183086, -9999.522268715176, -11842.982392666627, -12256.310851134163, 0.007, -0.007, 0.86525, 192.0, 0.0, 32.0, 127.5, 96.0, 15.0, 112.0, 0.0, 0.0, 0.0, 1.6444990897855628E9, 0.0, 2022-02-11 00:18:09.785
36.0, -9231.628087953102, -11082.28547361916, -10742.673068365226, -17140.368180318856, -2528.6975537177987, -1696.117424502066, -5581.364700956906, -6634.154216546323, -17048.435455374176, -14624.120548262663, -19948.060208327795, -12602.472317513504, -6380.417213489677, -9982.490239440232, -11836.634497241319, -12249.337106864108, 0.007, -0.007, 0.86525, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.64449908978557E9, 0.0, 2022-02-11 00:18:09.785
38.0, -9241.708724702445, -11098.758709282722, -10754.385382459806, -17142.87157569785, -2543.1814841248374, -1711.406017709496, -5599.9390005992655, -6644.681888184773, -17059.454865390642, -14638.51507169188, -19953.04464734133, -12599.566590734315, -6384.462879236088, -9988.97224533227, -11837.953250164182, -12253.740400521803, 0.007, -0.007, 0.86525, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644499089785612E9, 0.0, 2022-02-11 00:18:09.785
40.0, -9233.617393209624, -11088.454555088825, -10749.17742600172, -17138.37887506233, -2534.6654694873655, -1702.3535612050964, -5595.021616819098, -6636.769370647594, -17048.770731541008, -14632.413045455582, -19960.89010964514, -12600.818288423812, -6378.226742533057, -9988.704024398807, -11841.037790899014, -12251.61698479855, 0.007, -0.007, 0.86525, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644499089785628E9, 0.0, 2022-02-11 00:18:09.785
42.0, -9226.01780009482, -11079.871485217987, -10746.115237011343, -17151.432293824233, -2535.134856120927, -1696.2068314798871, -5594.1275470408855, -6637.037591581058, -17054.604536843843, -14624.925211063053, -19950.451844984513, -12605.288637314874, -6381.892428623728, -9968.855675322495, -11833.549956506486, -12246.140807406999, 0.007, -0.007, 0.86525, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444990897856348E9, 0.0, 2022-02-11 00:18:09.785
44.0, -9237.081913600197, -11084.85592423152, -10756.59820516088, -17143.408017564776, -2551.071649917561, -1710.7801688647473, -5595.960390086221, -6642.692582928251, -17053.442246132166, -14618.622019126657, -19967.752095192922, -12616.442157798072, -6388.486193238044, -10000.081062326559, -11845.910471190271, -12250.477045831329, 0.0085, -0.0105, 0.9276249999999999, 192.0, 0.0, 40.0, 127.5, 72.0, 15.0, 120.0, 0.0, 0.0, 0.0, 1.644499089785642E9, 0.0, 2022-02-11 00:18:09.785
46.0, -9237.528948489304, -11089.236866144762, -10743.03069627651, -17146.58196527743, -2537.079457888539, -1703.113520516577, -5587.578485915481, -6641.17266430529, -17051.922327509204, -14624.612286640679, -19954.74337991993, -12608.730805960991, -6384.686396680641, -9990.73803314424, -11843.72000023365, -12247.95129870788, 0.0085, -0.0105, 0.9276249999999999, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444990897856493E9, 0.0, 2022-02-11 00:18:09.785
48.0, -9257.98079466591, -11103.184354684872, -10757.894606339289, -17152.01343918007, -2552.5021615627006, -1718.0668375571775, -5606.689227424768, -6647.185283563767, -17064.349897426357, -14640.124397292662, -19958.52082473288, -12612.105919373742, -6385.267542036479, -9997.22003903628, -11843.161206622268, -12254.276842388732, 0.0085, -0.0105, 0.9276249999999999, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644499089785656E9, 0.0, 2022-02-11 00:18:09.785
50.0, -9244.279175314805, -11094.914209236409, -10751.971394058633, -17144.77147397655, -2541.996841668706, -1703.113520516577, -5598.508488954126, -6635.718838658195, -17059.588975857376, -14644.37122873917, -19972.177740595074, -12617.760910720935, -6387.949751371116, -10000.483393726754, -11849.531453792031, -12251.505226076273, 0.0085, -0.0105, 0.9276249999999999, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444990897856631E9, 0.0, 2022-02-11 00:18:09.785
52.0, -9238.892404901077, -11103.094947707052, -10752.530187670016, -17149.06300891197, -2541.1921788683153, -1705.0581222841886, -5585.052738792031, -6641.150312560834, -17063.277013692503, -14634.894089090121, -19960.554833478313, -12611.614180995724, -6384.194658302625, -9993.688463412342, -11837.685029230719, -12246.341973107097, 0.0085, -0.0105, 0.9276249999999999, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.64449908978567E9, 0.0, 2022-02-11 00:18:09.785
