%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
2.0, -9999.45521348181, -10068.94678699336, -7395.342873971806, -11219.659295041478, -10228.247669726334, -6955.549950069184, -9476.312634505348, -7629.589155863423, -9821.915307273306, -12233.199147367377, -7884.197876953826, -6865.159495491922, -7501.24543920105, -11073.52358979268, -11191.920780172442, -15326.881745681972, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644587275980154E9, 0.0, 2022-02-12 00:47:55.980
4.0, -10011.569858976587, -10086.85053430206, -7410.340894501316, -11226.990667222819, -10249.280661258777, -6963.99890947329, -9501.45834701757, -7637.389914678325, -9847.306888974535, -12261.0941244476, -7887.148307221927, -6871.574446150595, -7526.502910435547, -11070.863732202499, -11196.212315107861, -15384.929226032404, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644587275980159E9, 0.0, 2022-02-12 00:47:55.980
0.0, -5414.106597197842, -5468.376632735328, -3715.865756972523, -6289.780889723407, -5265.512200058961, -3739.5809578396033, -5050.041383509802, -4151.009518028441, -4917.4508354009195, -6118.11949230665, -3950.268501075328, -3442.9062536843126, -3768.593522142592, -5534.71661027868, -5603.090596567464, -7655.271310242571, 0.014, 0.23800000000000002, 0.9500000000000001, 192.0, 0.0, 56.0, 3.5, 56.0, 14.5, 88.0, 0.0, 0.0, 0.0, 1.644587276028191E9, 0.0, 2022-02-12 00:47:56.028
2.0, -10813.081063399442, -10907.53953546757, -7424.668362697168, -12568.005927563421, -10515.914620866135, -7464.074488171875, -10098.339330952089, -8304.365969224687, -10816.076197156453, -13130.912259925874, -8527.369323655286, -7615.149928945295, -7649.392801450826, -11678.182980797646, -12284.541104381216, -16805.22612395598, 0.014, 0.23800000000000002, 0.9500000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644587276034455E9, 0.0, 2022-02-12 00:47:56.034
4.0, -10845.915776004289, -10956.892187224888, -7430.926851144654, -12589.173029562597, -10533.997182130479, -7471.897598731232, -10099.52397340822, -8308.433986715554, -10855.795247053535, -13155.298013126614, -8529.224518445077, -7604.376388117837, -7647.0458682830185, -11663.252015501503, -12285.636339859528, -16862.245424061468, 0.014, 0.23800000000000002, 0.9500000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644587276041736E9, 0.0, 2022-02-12 00:47:56.041
6.0, -10847.927433005267, -10953.494722067682, -7450.596386265324, -12585.194419049552, -10522.575440713816, -7471.674081286679, -10101.803851342662, -8312.569059439786, -10859.237415699652, -13178.588530849043, -8545.78716108646, -7616.066350467962, -7652.969080563675, -11665.576596924853, -12287.558589882683, -16845.727484909, 0.012, 0.23600000000000002, 0.9500000000000001, 192.0, 0.0, 40.0, 3.5, 40.0, 14.5, 88.0, 0.0, 0.0, 0.0, 1.644587276049933E9, 0.0, 2022-02-12 00:47:56.049
8.0, -10821.194746636718, -10919.989457129175, -7441.096894871819, -12586.021433594398, -10524.363580270241, -7458.397145080226, -10095.14303149498, -8314.290143762844, -10856.979889509665, -13133.907393682885, -8558.59471065935, -7631.623164608856, -7652.879673585853, -11646.35409669329, -12287.871514305058, -16817.363121195212, 0.012, 0.23600000000000002, 0.9500000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644587276056384E9, 0.0, 2022-02-12 00:47:56.056
10.0, -10870.43563967176, -10964.871759995433, -7457.503075302015, -12592.771660419901, -10552.213853861555, -7483.319340147894, -10120.221688773834, -8324.683704934563, -10882.840857844456, -13163.076420197061, -8562.349803727842, -7606.768024774555, -7683.389804767347, -11656.188864253625, -12297.57217139866, -16881.087944637293, 0.012, 0.23600000000000002, 0.9500000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644587276064536E9, 0.0, 2022-02-12 00:47:56.064
12.0, -10869.452162915726, -10937.267355593129, -7451.736325232545, -12579.762945146913, -10537.260536820953, -7469.707127774612, -10114.946677082382, -8323.186138056057, -10869.496866404637, -13156.214434649282, -8569.323547997898, -7619.597926091901, -7685.3791100238695, -11673.69028016213, -12306.088186036133, -16810.210562969514, 0.012, 0.23600000000000002, 0.9500000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644587276072401E9, 0.0, 2022-02-12 00:47:56.072
14.0, -10840.037267212543, -10943.771713229622, -7447.221272852573, -12598.538410489371, -10556.058353907867, -7474.199828410128, -10121.47338646333, -8327.45532124702, -10876.805886841523, -13141.082303653038, -8548.558777398917, -7607.483280597125, -7676.974854108675, -11680.261693031991, -12305.462337191384, -16868.86154042024, 0.012, 0.23600000000000002, 0.9500000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.64458727607914E9, 0.0, 2022-02-12 00:47:56.079
